"","d_q410_var_name_rice","d_q410_var_name","g_q5305_irrig_times_rice_wheat","revenue_wheat_rice","g_q5305_irrig_times_rice","g_q5305_irrig_times","revenue_wheat","revenue_rice","sowing_classes","sowdate_fmt","sowdate_fmt_rice","d_q409_var_type_rice","o_largest_plot_gps_latitude","o_largest_plot_gps_longitude","b_grain_yield_ton_per_ha_rice","a_q103_district","l_ton_per_hectare","l_crop_duration_days","l_crop_duration_days_rice","nperha","nperha_rice","p2o5perha","p2o5perha_rice","januaryfirst2017","sowdate_fmt_wheat_day","sowdate_fmt_rice_day","X","gw_2017","gw_2018","median_onset_82_15","sd_onset_82_15","onset_2017","monsoon_onset_dev","variety_type","variety_type_NMWV","rice_duration_class","rice_duration_class_long","rice_duration_class_long_all","sowing_classes_varieties","sowing_classes_varieties_all","rice_revenue_share","sowing_classes_lev","sowing_classes_Both_early","sowing_classes_Both_late","sowing_classes_Rice_early","sowing_classes_Wheat_early"
"1","Ankur","HD2733",5,138049.9999375,3,2,69300,68749.9999375,"Both early",2017-11-18,2017-07-06,"Hybrid",25.905,85.799,5.43209876049383,"Samastipur",4.95,154,158,159.160493668,119.50617272,87.456790036,49.975308592,2017-01-01,321,186,755,6.49307489395142,4.22001791000366,163,7.47128343582153,189,26,"NMWV",1,"medium",0,"Hybrid","Both early_Hybrid_NMWV","Both early_Hybrid_NMWV",0.498007967900221,"Both early",1,0,0,0
"2","Ankur","Kedar",6,86000,3,3,42000,44000,"Both late",2017-12-15,2017-07-17,"Hybrid",25.274,84.353,3.95061728395062,"Arah",3,132,165,176.987654320988,173.827160493827,31.6049382716049,72.6913580246914,2017-01-01,348,197,75,5.60518312454224,2.56005120277405,170,5.98957443237305,191,21,"EMWV",0,"medium",0,"Hybrid","Both late_Hybrid_EMWV","Both late_Hybrid_EMWV",0.511627906976744,"Both late",0,1,0,0
"3","Ankur","Kedar",3,41969.99997,2,1,15720,26249.99997,"Rice early",2017-12-15,2017-07-10,"Hybrid",25.041,87.146,1.72839506,"Banka",1.31,116,172,55.2533885867219,95.0617283,39.7133730467064,39.75308638,2017-01-01,348,190,2763,5.1282057762146,2.93268322944641,156,5.88397932052612,191,35,"EMWV",0,"medium",0,"Hybrid","Rice early_Hybrid_EMWV","Rice early_Hybrid_EMWV",0.625446747409183,"Rice early",0,0,1,0
"4","Ankur","LOK1",3,55500,2,1,19500,36000,"Both late",2017-12-10,2017-07-15,"Hybrid",25.17,86.783,2.96296296296296,"Bhagalpur",1.5,110,153,82.5679012345679,108.246913580247,13.6296296296296,90.8641975308642,2017-01-01,343,195,4533,7.22623062133789,3.89914894104004,164,7.49696922302246,191,27,"EMWV",0,"medium",0,"Hybrid","Both late_Hybrid_EMWV","Both late_Hybrid_EMWV",0.648648648648649,"Both late",0,1,0,0
"5","Ankur","PBW343",6,75329.999976,3,3,52650,22679.999976,"Rice early",2017-11-21,2017-07-07,"Hybrid",26.197,84.63,1.86666666518519,"Siwan",4.05,148,151,145.502645502645,107.9999999136,60.8465608465608,40.8888888561778,2017-01-01,324,187,3316,5.82669544219971,4.13243865966797,170,6.67395448684692,191,21,"NMWV",1,"medium",0,"Hybrid","Rice early_Hybrid_NMWV","Rice early_Hybrid_NMWV",0.301075268594528,"Rice early",0,0,1,0
"6","Ankur","PBW343",6,62199.999976,4,2,39520,22679.999976,"Rice early",2017-11-21,2017-07-04,"Hybrid",26.197,84.63,1.86666666518519,"Siwan",3.04,148,148,145.502645502645,107.9999999136,60.8465608465608,40.8888888561778,2017-01-01,324,184,3318,5.82669544219971,4.13243865966797,170,6.67395448684692,191,21,"NMWV",1,"medium",0,"Hybrid","Rice early_Hybrid_NMWV","Rice early_Hybrid_NMWV",0.364630224835227,"Rice early",0,0,1,0
"7","Ankur","UP262",4,90450.000042,3,1,43200,47250.000042,"Both early",2017-11-17,2017-07-12,"Hybrid",26.254,84.644,3.33333333580247,"Siwan",2.7,159,138,85.4187520854187,116.000000116,61.3947280613947,61.3333333946667,2017-01-01,320,192,4848,6.52284097671509,4.37871170043945,172,6.87758207321167,191,19,"EMWV",0,"medium",0,"Hybrid","Both early_Hybrid_EMWV","Both early_Hybrid_EMWV",0.522388059923269,"Both early",1,0,0,0
"8","Arize6129","HD2967",7,54000,3,4,0,54000,"Both early",2017-11-08,2017-06-26,"Hybrid",26.383,83.725,3.95061728395062,"Deoria",3,154,137,183.703703703704,149.62962962963,34.0740740740741,34.0740740740741,2017-01-01,311,176,3531,5.73583364486694,2.66262221336365,171,8.33473491668701,191,20,"NMWV",1,"early",0,"Hybrid","Both early_Hybrid_NMWV","Both early_Hybrid_NMWV",1,"Both early",1,0,0,0
"9","Arize6129","HUW234",7,100470.764612,5,2,42000,58470.764612,"Rice early",2017-12-08,2017-07-14,"Hybrid",25.38,83.266,4.44222333333333,"Chandauli",3,127,153,98.5185184692592,98.4692838765802,34.074074057037,34.0570455512984,2017-01-01,341,194,4358,5.18521595001221,2.68362522125244,172,7.05309963226318,191,19,"EMWV",0,"early",0,"Hybrid","Rice early_Hybrid_EMWV","Rice early_Hybrid_EMWV",0.581967946972471,"Rice early",0,0,1,0
"10","Arize6129","PBW343",7,118964.516124,4,3,60900,58064.516124,"Both early",2017-11-10,2017-06-29,"Hybrid",26.803,83.267,4.77897252098765,"Gorakhpur",4.06,151,143,190.98765413,183.193946634807,110.74074063,0,2017-01-01,313,179,286,2.55889225006104,1.8145010471344,168,8.22321224212646,190,22,"NMWV",1,"early",0,"Hybrid","Both early_Hybrid_NMWV","Both early_Hybrid_NMWV",0.488082648640186,"Both early",1,0,0,0
