"","TehsilNo","Zone name","District name","Tehsil name","Village name","State","Crop","Year","Zone No.","Cultivator No.","Ha-months in ground (Ha.)","Parcel Plot Season (PPS)","Main Product (Qtls.)","Crop Area (Ha.)","Main Product (Rs.)","By Product (Rs.)","Family Labour (Hrs.)","Family Labour (Rs.)","Attached Labour (Hrs.)","Attached Labour (Rs.)","Casual Labour (Hrs.)","Casual Labour (Rs.)","Hired Animal Labour (Hrs.)","Hired Animal Labour (Rs.)","Owned Animal Labour (Hrs.)","Owned Animal Labour (Rs.)","Hired Machine (Hrs.)","Hired Machine (Rs.)","Own Machine (Hrs.)","Own Machine (Rs.)","Hired Irrigation Machine (Hrs.)","Hired Irrigation Machine (Rs.)","Owned Irrigation Machine (Hrs.)","Owned Irrigation Machine (Rs.)","Canal and Other Irrigation Charges (Rs)","Seed Qty. (Kg.)","Seed Value (Rs.)","Fertiliser (N) (Kg.)","Fertiliser (N) (Rs.)","Fertiliser (P) (Kg.)","Fertiliser (P) (Rs.)","Fertiliser (K) (Kg.)","Fertiliser (K) (Rs.)","Other Fertiliser (Kg.)","Other Fertiliser (Rs.)","Total Fertiliser (Kg.)","Total Fertiliser (Rs.)","Manure (Qtl.)","Manure (Rs.)","Insecticides (Rs.)","Crop Insurance (Rs.)","Payment to Contractor (Rs.)","Miscelaneous Cost (Rs.)","Land Revenue (Rs.)","Rent Paid for Leased in Land (Rs.)","Imputed Rent (Rs.)","Total Depreciation (Rs.)","Total Capital (Rs.)","Sample No. of Growers in size group","Total Number of Growers in size group","Cluster Factor/Weight","Area of all selected crops in Village (Ha.)","No. of Villages in Tehsil","Area of Crop in Zone (Ha.)","Production of Crop in Zone (Qtl.)","No. of Tehsils in Zone","Sample Tehsils in Zone","Area of all selected crops in Zone (Ha.)","Interest on working capital rate(%)","Interest on fixed capital rate(%)","Minimum Rent (%age of GVO)","Maximum Rent (%age of GVO)","Sample Zone in State","Sample Clusters in State","Tenure","Variety"
"1",1,"I","Darbhanga","Benipur","Pohaddi","Bihar","Wheat","2017-18",1,1,1,1012,6.8,0.2,9860,2040,28,730.97,0,0,34.72,900,0,0,0,0,1.67,1240,0,0,2.5,350,0,0,0,20,600,12.8,202.33,9.2,437.67,6,120,0,0,28,760,0,0,0,0,NA,0,27.03,0,3243.24,125,416,152,2,76,235.68,131,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"2",1,"I","Darbhanga","Benipur","Pohaddi","Bihar","Wheat","2017-18",1,1,1,2012,6.7,0.2,9715,2010,29,757.08,0,0,34.72,900,0,0,0,0,1.67,1240,0,0,2.5,350,0,0,0,20,600,12.8,202.33,9.2,437.67,6,120,0,0,28,760,0,0,0,0,NA,0,27.78,0,3333.33,125,416,152,2,76,235.68,131,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"3",1,"I","Darbhanga","Benipur","Pohaddi","Bihar","Wheat","2017-18",1,1,1,3012,6.8,0.2,9860,2040,30,783.19,0,0,34.72,900,0,0,0,0,1.67,1240,0,0,2.5,350,0,0,0,20,600,12.8,202.33,9.2,437.67,6,120,0,0,28,760,0,0,0,0,NA,0,27.78,0,3333.33,125,416,152,2,76,235.68,131,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"4",1,"I","Darbhanga","Benipur","Pohaddi","Bihar","Wheat","2017-18",1,2,1.25,1012,8,0.25,11600,3000,32,835.4,0,0,34.72,900,0,0,0,0,2,1500,0,0,3,420,0,0,0,25,750,10.02,148.91,11.5,547.09,4.8,240,0,0,26.32,936,0,0,0,0,NA,0,33.24,0,3989.36,168,544,152,2,76,235.68,131,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"5",1,"I","Darbhanga","Benipur","Pohaddi","Bihar","Wheat","2017-18",1,2,1.25,2012,8.2,0.25,11890,3150,34,887.61,0,0,34.72,900,0,0,0,0,2,1500,0,0,3,420,0,0,0,25,750,10.02,148.91,11.5,547.09,4.8,240,0,0,26.32,936,0,0,0,0,NA,0,34.72,0,4166.67,168,544,152,2,76,235.68,131,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"6",1,"I","Darbhanga","Benipur","Pohaddi","Bihar","Wheat","2017-18",1,3,2.5,1012,16,0.5,23200,4800,27,704.87,0,0,125.52,3250,0,0,0,0,3.5,2640,0,0,6,840,0,0,0,50,1520,32,495.83,23,1094.17,15,300,0,0,70,1890,0,0,0,0,NA,0,68.68,0,8241.76,1569,18549,98,2,49,235.68,131,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"7",1,"I","Darbhanga","Benipur","Pohaddi","Bihar","Wheat","2017-18",1,3,1.25,2012,8,0.25,11600,2400,32,835.4,0,0,64.08,1650,0,0,0,0,2,1500,0,0,3,420,0,0,0,25,750,10.02,148.91,11.5,547.09,7.2,140,0,0,28.72,836,0,0,0,0,NA,0,34.72,0,4166.67,1569,18549,98,2,49,235.68,131,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"8",1,"I","Darbhanga","Benipur","Pohaddi","Bihar","Wheat","2017-18",1,4,3,1012,17,0.6,24650,5100,22,574.34,0,0,128.16,3300,0,0,0,0,4,3000,0,0,6,840,0,0,0,60,1800,32,495.83,23,1094.17,15,300,0,0,70,1890,0,0,0,0,NA,0,81.82,0,9818.18,1556,18510,98,2,49,235.68,131,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"9",1,"I","Darbhanga","Benipur","Pohaddi","Bihar","Wheat","2017-18",1,5,3,1012,16.8,0.6,24360,5040,28,730.97,0,0,128.16,3300,0,0,0,0,4,3000,0,0,0,0,7,471.39,0,60,1800,32,495.83,23,1094.17,15,300,0,0,70,1890,0,0,0,0,NA,0,83.03,0,9963.1,227,7815,21,2,10.5,235.68,131,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"10",1,"I","Darbhanga","Benipur","Pohaddi","Bihar","Wheat","2017-18",1,5,3,2012,17,0.6,24650,5100,28,730.97,0,0,122.88,3200,0,0,0,0,4,3000,0,0,0,0,7,471.39,0,60,1800,32,495.83,23,1094.17,15,300,0,0,70,1890,0,0,0,0,NA,0,83.33,0,10000,227,7815,21,2,10.5,235.68,131,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"11",1,"I","Darbhanga","Benipur","Pohaddi","Bihar","Wheat","2017-18",1,6,5,1012,33,1,47850,9900,30,783.19,0,0,228.4,5950,0,0,0,0,6.5,4860,0,0,0,0,12,808.1,0,100,3000,64,991.65,46,2188.35,30,600,0,0,140,3780,0,0,0,0,NA,0,137.06,0,16447.37,232,6847,21,2,10.5,235.68,131,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"12",1,"I","Darbhanga","Benipur","Pohaddi","Bihar","Wheat","2017-18",1,6,5,2012,33.2,1,48140,9960,22,574.34,0,0,239.04,6200,0,0,0,0,6.5,4860,0,0,0,0,12,808.1,0,100,3000,64,991.65,46,2188.35,30,600,0,0,140,3780,0,0,0,0,NA,0,138.89,0,16666.67,232,6847,21,2,10.5,235.68,131,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"13",1,"I","Darbhanga","Benipur","Pohaddi","Bihar","Wheat","2017-18",1,7,5,2012,33.4,1,48430,8510,26,678.86,0,0,229.76,6000,0,0,0,0,7,5240,0,0,12,1680,0,0,0,100,3000,64,991.65,46,2188.35,30,900,0,0,140,4080,0,0,0,0,NA,0,138.89,0,16666.67,1821,34303,3,3,1,235.68,131,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"14",1,"I","Darbhanga","Benipur","Pohaddi","Bihar","Wheat","2017-18",1,7,5,3012,33.5,1,48575,8525,29,757.19,0,0,248.32,6400,0,0,0,0,7,5240,0,0,12,1680,0,0,0,100,3000,64,991.65,46,2188.35,30,900,0,0,140,4080,0,0,0,0,NA,0,138.89,0,16666.67,1821,34303,3,3,1,235.68,131,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"15",1,"I","Darbhanga","Benipur","Pohaddi","Bihar","Wheat","2017-18",1,7,5,5012,32.8,1,47560,9840,26,678.76,0,0,240.32,6200,0,0,0,0,7,5240,0,0,12,1680,0,0,0,100,3000,64,991.65,46,2188.35,30,900,0,0,140,4080,0,0,0,0,NA,0,138.89,0,16666.67,1821,34303,3,3,1,235.68,131,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"16",1,"I","Darbhanga","Benipur","Pohaddi","Bihar","Wheat","2017-18",1,8,5,1012,33,1,47850,9900,28,730.97,0,0,225.68,5850,0,0,0,0,7,5200,0,0,0,0,12,943.02,0,100,3000,64,991.65,46,2188.35,30,600,0,0,140,3780,0,0,0,0,NA,0,135.87,0,16304.35,1821,49063,3,3,1,235.68,131,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"17",1,"I","Darbhanga","Benipur","Pohaddi","Bihar","Wheat","2017-18",1,8,5,2012,33.2,1,48140,9960,24,626.55,0,0,225.68,5850,0,0,0,0,7,5280,0,0,0,0,12,943.02,0,100,3000,64,991.65,46,2188.35,30,600,0,0,140,3780,0,0,0,0,NA,0,138.89,0,16666.67,1821,49063,3,3,1,235.68,131,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"18",1,"I","Darbhanga","Benipur","Pohaddi","Bihar","Wheat","2017-18",1,9,5,1012,33,1,47850,9900,28,730.97,0,0,248.32,6400,0,0,0,0,7,5280,0,0,12,1680,0,0,0,100,3000,64,991.65,46,2188.35,30,600,0,0,140,3780,0,0,0,0,NA,0,128.21,0,15384.62,1821,34303,3,3,1,235.68,131,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"19",1,"I","Darbhanga","Benipur","Pohaddi","Bihar","Wheat","2017-18",1,9,5,2012,32.8,1,47560,9900,31,809.29,0,0,239.04,6200,0,0,0,0,7,5280,0,0,12,1680,0,0,0,100,3000,64,991.65,46,2188.35,30,600,0,0,140,3780,0,0,0,0,NA,0,138.89,0,16666.67,1821,34303,3,3,1,235.68,131,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
