"","ID","population_density","wc2.1_30s_elev","sand_0-5cm","nitrogen_0-5cm","soc_5-15cm"
"1",1,1578.97729492188,52,32,1.60000002384186,10.3999996185303
"2",2,1052.35961914062,86,27,2,16.8999996185303
"3",3,1651.06555175781,50,29,1.89999997615814,16.1000003814697
"4",4,1213.06066894531,38,30,2.09999990463257,17
"5",5,1737.85278320312,66,31,1.29999995231628,12
"6",6,1737.85278320312,66,31,1.29999995231628,12
"7",7,1422.17211914062,66,32,1.29999995231628,12.8000001907349
"8",8,1038.9697265625,75,32,1.70000004768372,11.3999996185303
"9",9,1240.47680664062,77,29,1.60000002384186,12.3999996185303
"10",10,1920.11303710938,79,32,1.70000004768372,12.6999998092651
"11",11,1297.49084472656,77,32,1.79999995231628,15.1999998092651
"12",12,1516.30310058594,52,30,1.5,11.3999996185303
"13",13,2205.97485351562,52,32,1.5,12.1999998092651
"14",14,726.207092285156,146,20,1.70000004768372,11.6000003814697
"15",15,726.207092285156,149,20,1.70000004768372,11.8999996185303
"16",16,726.207092285156,149,20,1.70000004768372,11.8999996185303
"17",17,1244.59411621094,83,31,1.79999995231628,14.8999996185303
"18",18,1653.96459960938,61,27,1.60000002384186,13.6000003814697
"19",19,1406.57702636719,47,29,2,13.8000001907349
"20",20,1565.69775390625,64,33,1.79999995231628,13
"21",21,1524.13208007812,58,30,1.5,13.1999998092651
"22",22,1528.19494628906,56,30,1.5,13.8999996185303
"23",23,1493.71667480469,58,32,1.39999997615814,13.8999996185303
"24",24,2046.90881347656,50,33,1.60000002384186,10.1999998092651
"25",25,2205.97485351562,53,31,1.5,11.8000001907349
"26",26,2119.14404296875,53,31,1.60000002384186,11.1000003814697
"27",27,2119.14404296875,52,32,1.5,11.3999996185303
"28",28,2205.97485351562,52,32,1.60000002384186,11.6999998092651
"29",29,1836.21520996094,50,32,1.60000002384186,12.6999998092651
"30",30,1970.28857421875,52,32,1.70000004768372,12.1999998092651
"31",31,2017.14990234375,61,27,1.60000002384186,12
"32",32,3990.8544921875,56,31,1.5,12.1000003814697
"33",33,3990.8544921875,57,31,1.70000004768372,12.1000003814697
"34",34,1708.68969726562,62,30,1.5,11.5
"35",35,3990.8544921875,56,31,1.5,12.1000003814697
"36",36,1493.71667480469,58,32,1.39999997615814,13.8999996185303
"37",37,2755.41162109375,51,31,1.60000002384186,10.8000001907349
"38",38,1493.71667480469,57,31,1.39999997615814,13.3999996185303
"39",39,1493.71667480469,59,32,1.39999997615814,13.6000003814697
"40",40,1708.68969726562,62,30,1.5,11.5
"41",41,2205.97485351562,53,31,1.5,13.6000003814697
"42",42,2171.49731445312,45,32,1.60000002384186,13.3000001907349
"43",43,1853.60144042969,58,31,1.5,12.5
"44",44,1194.30578613281,78,29,1.79999995231628,10.6999998092651
"45",45,1194.30578613281,78,30,1.70000004768372,10.8000001907349
"46",46,1194.30578613281,78,29,1.79999995231628,10.6999998092651
"47",47,1301.27734375,71,33,1.39999997615814,9.89999961853027
"48",48,1431.23779296875,78,29,1.70000004768372,13
"49",49,1431.23779296875,78,29,1.70000004768372,13
"50",50,1301.27734375,71,33,1.39999997615814,9.89999961853027
"51",51,1233.89587402344,77,32,1.5,11.8999996185303
"52",52,1462.17163085938,81,31,1.89999997615814,13.8000001907349
"53",53,1462.17163085938,81,31,1.89999997615814,13.8000001907349
"54",54,1462.17163085938,81,31,1.89999997615814,13.8000001907349
"55",55,1462.17163085938,81,31,1.89999997615814,13.8000001907349
"56",56,1920.11303710938,78,34,1.60000002384186,14.3000001907349
"57",57,1228.84899902344,81,32,1.70000004768372,12.5
"58",58,2189.67822265625,81,30,1.70000004768372,13.3000001907349
"59",59,1239.50183105469,77,32,1.70000004768372,13.5
"60",60,1239.50183105469,81,32,1.70000004768372,12.6000003814697
"61",61,1920.74145507812,83,29,1.5,11.8000001907349
"62",62,1524.13208007812,59,30,1.5,13.1000003814697
"63",63,1972.66296386719,59,31,1.5,12.6999998092651
"64",64,2755.41162109375,52,32,1.70000004768372,13.1000003814697
"65",65,1993.67175292969,47,31,1.60000002384186,12.6999998092651
"66",66,1993.67175292969,44,31,1.70000004768372,13.6000003814697
"67",67,1993.67175292969,44,31,1.70000004768372,13.6000003814697
"68",68,1503.12768554688,50,30,1.79999995231628,13.3000001907349
"69",69,1503.12768554688,51,31,1.79999995231628,12.1999998092651
"70",70,1561.16467285156,52,30,1.60000002384186,11.5
"71",71,1993.67175292969,44,31,1.70000004768372,13.6000003814697
"72",72,1561.16467285156,52,30,1.60000002384186,11.5
"73",73,2205.97485351562,52,32,1.5,12.1999998092651
"74",74,1503.12768554688,50,30,1.79999995231628,13.3000001907349
"75",75,2205.97485351562,52,32,1.5,12.5
"76",76,1561.16467285156,55,30,1.60000002384186,11.3000001907349
"77",77,1993.67175292969,47,31,1.60000002384186,12.6999998092651
"78",78,2171.49731445312,46,31,1.60000002384186,20.2000007629395
"79",79,2171.49731445312,46,31,1.70000004768372,13
"80",80,1239.43737792969,91,28,1.39999997615814,11.6000003814697
"81",81,1196.77514648438,89,31,1.70000004768372,13.3999996185303
"82",82,1010.73291015625,96,35,1.39999997615814,10.1000003814697
"83",83,2125.232421875,67,31,1.39999997615814,11.8000001907349
"84",84,2125.232421875,66,30,1.39999997615814,12.5
"85",85,1744.12707519531,67,30,1.39999997615814,12.3999996185303
"86",86,2582.4091796875,62,29,1.70000004768372,13.8999996185303
"87",87,1940.64660644531,63,30,1.5,13.5
"88",88,2028.18835449219,68,29,1.60000002384186,12.6999998092651
"89",89,2006.28076171875,62,31,1.79999995231628,13.3000001907349
"90",90,1744.12707519531,67,28,1.60000002384186,13.8999996185303
"91",91,1744.12707519531,67,28,1.60000002384186,13.8999996185303
"92",92,1714.91857910156,60,33,1.39999997615814,12.6999998092651
"93",93,2092.67724609375,59,33,1.60000002384186,14.1999998092651
"94",94,1966.93212890625,56,31,1.5,12.6000003814697
"95",95,1966.93212890625,52,30,1.5,16.7000007629395
"96",96,3138.46606445312,56,29,1.60000002384186,12.6000003814697
"97",97,1018.49560546875,69,31,1.29999995231628,10.8000001907349
"98",98,1083.05700683594,68,32,1.29999995231628,10.8999996185303
"99",99,1059.64855957031,71,27,1.20000004768372,8.89999961853027
"100",100,1061.25573730469,58,29,1.29999995231628,10.1999998092651
"101",101,1175.1171875,72,34,1.60000002384186,11.8000001907349
"102",102,1090.39855957031,43,28,1.60000002384186,13.8000001907349
"103",103,2446.11083984375,58,30,1.79999995231628,14.1999998092651
"104",104,401.536529541016,201,38,1.79999995231628,13.1000003814697
"105",105,1176.57604980469,59,32,1.60000002384186,11.8000001907349
"106",106,1570.86364746094,73,33,1.20000004768372,10.1000003814697
"107",107,1216.53039550781,71,32,1.70000004768372,12.1000003814697
"108",108,1205.7001953125,65,31,1.20000004768372,14
"109",109,1431.23779296875,78,29,1.70000004768372,12.6000003814697
"110",110,1298.49304199219,77,32,1.39999997615814,12.5
"111",111,1216.53039550781,70,32,1.70000004768372,12
"112",112,1194.30578613281,78,30,1.70000004768372,10.8000001907349
"113",113,1920.11303710938,78,34,1.60000002384186,14.3000001907349
"114",114,1545.08544921875,82,32,1.79999995231628,14.1999998092651
"115",115,1254.90209960938,79,33,1.60000002384186,11.8000001907349
"116",116,1545.08544921875,84,30,2,13.8999996185303
"117",117,1920.11303710938,78,34,1.60000002384186,14.3000001907349
"118",118,1297.49084472656,77,32,1.79999995231628,15.1999998092651
"119",119,1545.08544921875,83,30,1.89999997615814,13.8999996185303
"120",120,1535.36730957031,82,36,1.20000004768372,11.1999998092651
"121",121,1575.23034667969,78,34,1.39999997615814,12.5
"122",122,1528.19494628906,55,30,1.5,14.1999998092651
"123",123,1708.68969726562,62,30,1.5,11.6999998092651
"124",124,1543.78955078125,55,30,1.60000002384186,12.1000003814697
"125",125,1516.30310058594,52,30,1.5,11.1999998092651
"126",126,1993.67175292969,46,31,1.60000002384186,12.8000001907349
"127",127,1503.12768554688,50,30,1.79999995231628,13.3000001907349
"128",128,1503.12768554688,49,30,1.70000004768372,12.8000001907349
"129",129,2205.97485351562,53,31,1.5,13.6000003814697
"130",130,2171.49731445312,47,32,1.60000002384186,13.5
"131",131,2171.49731445312,46,31,1.70000004768372,13
"132",132,2171.49731445312,46,31,1.79999995231628,12
"133",133,1219.3427734375,95,32,1.5,11.3000001907349
"134",134,981.440368652344,94,34,1.29999995231628,10.6999998092651
"135",135,2577.31958007812,51,32,1.60000002384186,12.1000003814697
"136",136,1744.12707519531,67,29,1.5,12
"137",137,1744.12707519531,67,28,1.60000002384186,13.8999996185303
"138",138,1613.09997558594,57,29,1.5,12.3999996185303
"139",139,1059.64855957031,72,28,1.29999995231628,9.19999980926514
"140",140,1306.43054199219,65,32,1.10000002384186,9.19999980926514
"141",141,1193.22485351562,61,32,1.29999995231628,10.3000001907349
"142",142,1488.51904296875,66,33,1.70000004768372,11.8000001907349
"143",143,1485.07885742188,62,29,1.5,11.1000003814697
"144",144,3118.66357421875,46,33,1.5,12.6999998092651
"145",145,1329.79833984375,64,31,1.39999997615814,11
"146",146,405.684600830078,268,25,1.20000004768372,10.6000003814697
"147",147,405.621765136719,270,25,1.20000004768372,10.3000001907349
"148",148,405.621765136719,270,25,1.20000004768372,10.3000001907349
"149",149,405.684600830078,268,NA,NA,NA
"150",150,405.621765136719,321,22,1.10000002384186,8.69999980926514
"151",151,1110.072265625,44,32,1.5,14.1000003814697
"152",152,1110.072265625,44,32,1.5,14.1000003814697
"153",153,405.684600830078,270,25,1.20000004768372,10.3999996185303
"154",154,1110.072265625,45,32,1.5,13.6999998092651
"155",155,1970.28857421875,52,33,1.60000002384186,12.1999998092651
"156",156,1665.1962890625,58,31,1.5,12
"157",157,1631.02307128906,60,31,1.5,12.1000003814697
"158",158,405.621765136719,321,22,1.10000002384186,8.69999980926514
"159",159,1240.94860839844,72,28,1.60000002384186,11.3999996185303
"160",160,1101.91882324219,44,31,2,14.5
"161",161,892.172973632812,60,27,1.70000004768372,12.1000003814697
"162",162,1215.99206542969,63,27,1.70000004768372,12.3999996185303
"163",163,892.172973632812,62,27,1.79999995231628,12.3000001907349
"164",164,1215.99206542969,63,27,1.79999995231628,12.1999998092651
"165",165,999.976379394531,72,32,1.89999997615814,17.5
"166",166,1536.07507324219,54,30,2,15.5
"167",167,916.166015625,59,29,2,16.2999992370605
"168",168,1536.07507324219,50,29,2.09999990463257,16.7999992370605
"169",169,1184.01037597656,43,29,2.29999995231628,17.8999996185303
"170",170,1184.01037597656,42,29,2.20000004768372,17.3999996185303
"171",171,641.68896484375,45,31,2.20000004768372,21.7999992370605
"172",172,1184.01037597656,43,29,2.29999995231628,17.7000007629395
"173",173,1326.10717773438,48,29,2.20000004768372,15.8999996185303
"174",174,624.893371582031,103,26,2,11.3999996185303
"175",175,1978.13696289062,85,28,1.79999995231628,12
"176",176,1565.69775390625,62,32,1.79999995231628,12.8000001907349
"177",177,740.812072753906,114,33,1.70000004768372,12.6999998092651
"178",178,1331.30920410156,57,29,2.09999990463257,17
"179",179,1413.9501953125,91,35,2,16.5
"180",180,972.274169921875,87,31,2,15.6000003814697
"181",181,826.240661621094,130,38,1.70000004768372,12.3999996185303
"182",182,1400.45776367188,70,30,1.60000002384186,13.5
"183",183,557.64990234375,86,27,1.70000004768372,9.80000019073486
"184",184,2320.05590820312,51,28,1.79999995231628,14.1999998092651
"185",185,1398.51965332031,54,27,1.70000004768372,13
"186",186,1038.65710449219,71,27,1.60000002384186,12.3999996185303
"187",187,3017.96801757812,64,28,1.70000004768372,12.1000003814697
"188",188,1187.79223632812,66,27,1.70000004768372,12.5
"189",189,1187.79223632812,66,27,1.70000004768372,12.5
"190",190,1176.57604980469,58,27,1.70000004768372,13.8000001907349
"191",191,1176.57604980469,57,27,1.79999995231628,13
"192",192,1719.57897949219,49,27,1.60000002384186,13.6999998092651
"193",193,1354.46252441406,59,29,1.70000004768372,11.8000001907349
"194",194,2326.05151367188,49,29,1.89999997615814,18.5
"195",195,1620.89196777344,59,28,1.70000004768372,13.1999998092651
"196",196,1343.92724609375,49,30,2,18.1000003814697
"197",197,1413.9501953125,91,35,2,16.5
"198",198,747.85302734375,95,35,1.70000004768372,12.5
"199",199,500.969482421875,186,38,1.79999995231628,13.6999998092651
"200",200,1524.13208007812,58,30,1.5,14.1999998092651
"201",201,1524.13208007812,59,30,1.5,13.1000003814697
"202",202,3341.24780273438,50,32,1.60000002384186,12.6999998092651
"203",203,716.99365234375,88,33,1.29999995231628,14.3999996185303
"204",204,1199.76013183594,55,31,2,16.3999996185303
"205",205,1352.3447265625,57,30,1.39999997615814,13
"206",206,1354.43432617188,50,29,1.70000004768372,14.8000001907349
"207",207,2326.05151367188,49,29,1.70000004768372,14.1000003814697
"208",208,1714.90551757812,49,30,1.79999995231628,12.3999996185303
"209",209,6820.4443359375,51,30,1.60000002384186,13.1999998092651
"210",210,1521.14025878906,49,31,2.09999990463257,14.1999998092651
"211",211,815.764953613281,46,28,1.70000004768372,14.1000003814697
"212",212,1215.99206542969,64,27,1.79999995231628,12
"213",213,999.976379394531,72,32,1.89999997615814,17.5
"214",214,1215.99206542969,63,27,1.79999995231628,12.1999998092651
"215",215,999.976379394531,72,32,1.89999997615814,17.5
"216",216,1536.07507324219,50,29,2,17
"217",217,1536.07507324219,50,29,2,17.3999996185303
"218",218,1536.07507324219,49,29,1.79999995231628,18
"219",219,641.68896484375,44,32,2.20000004768372,20.6000003814697
"220",220,1536.07507324219,48,29,1.89999997615814,17.2000007629395
"221",221,1536.07507324219,50,29,2.09999990463257,17.2000007629395
"222",222,1536.07507324219,50,29,2.09999990463257,17.2000007629395
"223",223,1179.90209960938,83,30,2,14.8000001907349
