"","ID","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1",1,22.7,26.3,29.5,33.4,36,34.9,32.2,32.3,32.3,31.2,29.1,25
"2",2,22.1,26.5,31.5,38.1,41.3,38.7,32.9,33,32.4,31.5,28.4,24.5
"3",3,24,27.7,31.2,36.6,38.5,35.8,32.5,32.7,32.6,30.9,29.7,25.8
"4",4,23.3,27.4,30.9,36.6,38.7,36.3,32.7,32.8,32.6,30.8,29.2,25.2
"5",5,22.3,26.3,30.7,35.2,37.4,36.1,32.5,32.8,32.8,31.8,28.8,24.7
"6",6,22.3,26.3,30.7,35.2,37.4,36.1,32.5,32.8,32.8,31.8,28.8,24.7
"7",7,22.3,26.3,30.6,35.2,37.3,36,32.5,32.8,32.8,31.8,28.7,24.7
"8",8,22.3,26.5,31.6,37.8,39.5,37.2,32.5,33.2,32.6,32.3,28.9,25.1
"9",9,22.4,27.2,33.2,39.5,41.6,39,33.5,33.4,33,32.9,29.4,25
"10",10,22.5,26.4,32,37.7,38.8,36.2,32.5,32.9,32.9,32.4,28.9,24.9
"11",11,22.6,26.7,32.2,38.1,39,36.5,32.6,32.9,32.8,32.6,28.9,25.1
"12",12,22.7,26.2,29.8,33.5,36.1,34.6,32,32.1,32.3,31.2,28.9,25
"13",13,22.7,26.2,29.7,33.4,36.3,35,32.1,32.2,32.3,31.1,28.9,24.8
"14",14,23.4,27.4,31.6,37.5,40.7,38.1,33.2,32.6,32.7,31.3,28.9,25
"15",15,23.4,27.4,31.6,37.5,40.7,38.1,33.2,32.6,32.7,31.3,28.9,25
"16",16,23.4,27.4,31.6,37.5,40.7,38.1,33.2,32.6,32.7,31.3,28.9,25
"17",17,22.4,26.5,31.9,37.9,39.4,36.5,32.5,32.9,32.8,32.6,28.9,25
"18",18,22.2,26.1,30.4,35.6,40.2,37.5,32.7,32.8,32.5,31.2,28.5,24.4
"19",19,23.4,27.4,30.9,36.5,38.6,36.1,32.6,32.7,32.5,30.7,29.2,25.3
"20",20,23.8,27.7,31,36.4,38.6,36.2,32.5,32.7,32.5,30.8,29.4,25.5
"21",21,22.3,26,30.2,34.1,37.1,35.8,32.4,32.8,32.6,31.5,28.7,24.7
"22",22,22.7,26.3,30,33.6,35.9,34.5,32.1,32.4,32.4,31.3,28.8,25
"23",23,22.7,26.2,29.9,33.4,35.8,34.4,32,32.4,32.4,31.2,28.8,25
"24",24,22.9,26.4,29.6,33.7,36,34.7,32,32.2,32.4,31.2,28.9,25
"25",25,22.7,26.2,29.7,33.5,36.3,34.9,32.1,32.2,32.3,31.1,28.8,24.9
"26",26,22.7,26.2,29.7,33.5,36.1,34.7,31.9,32.1,32.2,31,28.8,25
"27",27,22.8,26.3,29.7,33.5,36.1,34.6,31.9,32,32.2,31.1,29,24.9
"28",28,22.7,26.2,29.7,33.5,36.3,34.9,32.1,32.2,32.3,31.1,28.8,24.9
"29",29,22.7,26.4,29.6,33.5,37.4,35.9,32.3,32.4,32.4,31.2,29.1,24.8
"30",30,22.8,26.4,29.6,33.3,36.8,35.5,32.2,32.3,32.4,31.2,29,24.8
"31",31,22.1,26.3,31,36.7,40.9,38.2,32.9,33.1,32.9,31.7,28.7,24.4
"32",32,22.6,26.1,29.7,33.4,36.2,35,32.2,32.4,32.4,31.2,28.8,24.9
"33",33,22.6,26.1,29.7,33.4,36.2,35,32.2,32.4,32.4,31.2,28.8,24.9
"34",34,22.4,26.1,30,34.2,36.5,35.3,32.4,32.7,32.5,31.6,28.8,24.8
"35",35,22.6,26.1,29.7,33.4,36.2,35,32.2,32.4,32.4,31.2,28.8,24.9
"36",36,22.7,26.2,29.9,33.4,35.8,34.4,32,32.4,32.4,31.2,28.8,25
"37",37,22.6,26.2,29.7,33.3,36.1,34.8,32.1,32.2,32.3,31.2,28.9,24.9
"38",38,22.7,26.3,29.9,33.5,35.9,34.4,32.1,32.3,32.4,31.2,28.8,25.1
"39",39,22.7,26.3,29.9,33.5,35.9,34.4,32.1,32.3,32.4,31.2,28.8,25.1
"40",40,22.4,26.1,30,34.2,36.5,35.3,32.4,32.7,32.5,31.6,28.8,24.8
"41",41,22.7,26.2,29.7,33.4,36.3,35,32.1,32.2,32.3,31.1,28.9,24.8
"42",42,23,26.7,29.8,33.6,36.1,34.9,32.2,32.4,32.3,31.2,29.2,25.2
"43",43,22.4,26.1,30,33.5,37.1,35.7,32.3,32.6,32.5,31.3,28.7,24.7
"44",44,22.5,26.5,31.6,37.4,38.6,36.5,32.5,33,32.6,32.4,28.8,24.9
"45",45,22.4,26.5,31.5,37.5,38.8,36.6,32.5,33,32.6,32.4,28.8,25
