"","ID","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1",1,9.6,11.4,15.7,19.9,21.8,24.5,26,27.1,25.9,24,14.6,10.2
"2",2,10.1,12.3,16.9,22.9,25.8,25.7,26.5,27.3,26.4,23.3,14.3,10.6
"3",3,10.2,12.3,16.5,20.6,24.1,26.2,26.8,27.5,26.5,24.2,15.5,11
"4",4,10.9,12.9,17.2,21.1,23.9,26.1,26.8,27.5,26.5,24.3,15.5,11.7
"5",5,9.2,10.9,15.9,20.6,22.7,24.4,25.8,27.3,26.2,23.4,14.3,10.1
"6",6,9.2,10.9,15.9,20.6,22.7,24.4,25.8,27.3,26.2,23.4,14.3,10.1
"7",7,9.3,10.8,15.7,20.4,22.7,24.3,25.7,27.4,26.1,23.4,14.2,10
"8",8,9.3,11,15.6,21,24.7,24.9,25.8,27.2,26,23,14.1,9.8
"9",9,9.3,12.1,16.7,21.8,25.1,25.2,27,27.5,26.6,22.9,13.9,10.1
"10",10,9,11.1,15.1,20.3,24.2,24.2,25.9,27,26,22.5,13.9,9.8
"11",11,8.8,10.9,15,20.5,24.2,24.4,25.9,27,25.9,22.6,13.7,9.6
"12",12,9.4,11.2,15.6,20.1,22,24.3,25.7,26.8,25.8,23.8,14.3,10.1
"13",13,9.6,11.4,15.9,20.5,21.9,24.3,25.8,27,26,23.9,14.6,10.4
"14",14,10.4,13.1,16.6,22,25,25.4,26,26.8,26.1,23.1,15,11.2
"15",15,10.4,13.1,16.6,22,25,25.4,26,26.8,26.1,23.1,15,11.2
"16",16,10.4,13.1,16.6,22,25,25.4,26,26.8,26.1,23.1,15,11.2
"17",17,8.9,11.1,15.2,20.6,24.5,24.4,25.9,27.1,26,22.5,13.8,9.8
"18",18,10.1,12.3,16.7,23.7,25.1,25.4,26.3,27.6,26.3,23.7,14.9,10.7
"19",19,10.9,12.8,17.1,20.9,23.8,25.9,26.8,27.4,26.5,24.2,15.7,11.7
"20",20,11.1,13,17,20.6,23.7,25.9,26.7,27.3,26.4,24.2,15.5,11.7
"21",21,9.3,11.2,15.7,21,22.6,24.5,26,27.3,26.2,23.7,14.4,10.2
"22",22,9.2,11.1,15.4,20.2,22.3,24.4,25.6,26.9,25.5,23.8,14.1,10
